sample-id	forward-absolute-filepath	reverse-absolute-filepath
SRR19064316	/home/users/eunseo916/yunna02102/fastq/SRR19064316_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064316_2.fastq.gz
SRR19064317	/home/users/eunseo916/yunna02102/fastq/SRR19064317_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064317_2.fastq.gz
SRR19064318	/home/users/eunseo916/yunna02102/fastq/SRR19064318_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064318_2.fastq.gz
SRR19064319	/home/users/eunseo916/yunna02102/fastq/SRR19064319_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064319_2.fastq.gz
SRR19064320	/home/users/eunseo916/yunna02102/fastq/SRR19064320_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064320_2.fastq.gz
SRR19064321	/home/users/eunseo916/yunna02102/fastq/SRR19064321_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064321_2.fastq.gz
SRR19064322	/home/users/eunseo916/yunna02102/fastq/SRR19064322_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064322_2.fastq.gz
SRR19064323	/home/users/eunseo916/yunna02102/fastq/SRR19064323_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064323_2.fastq.gz
SRR19064324	/home/users/eunseo916/yunna02102/fastq/SRR19064324_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064324_2.fastq.gz
SRR19064325	/home/users/eunseo916/yunna02102/fastq/SRR19064325_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064325_2.fastq.gz
SRR19064326	/home/users/eunseo916/yunna02102/fastq/SRR19064326_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064326_2.fastq.gz
SRR19064327	/home/users/eunseo916/yunna02102/fastq/SRR19064327_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064327_2.fastq.gz
SRR19064328	/home/users/eunseo916/yunna02102/fastq/SRR19064328_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064328_2.fastq.gz
SRR19064329	/home/users/eunseo916/yunna02102/fastq/SRR19064329_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064329_2.fastq.gz
SRR19064330	/home/users/eunseo916/yunna02102/fastq/SRR19064330_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064330_2.fastq.gz
SRR19064331	/home/users/eunseo916/yunna02102/fastq/SRR19064331_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064331_2.fastq.gz
SRR19064332	/home/users/eunseo916/yunna02102/fastq/SRR19064332_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064332_2.fastq.gz
SRR19064333	/home/users/eunseo916/yunna02102/fastq/SRR19064333_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064333_2.fastq.gz
SRR19064334	/home/users/eunseo916/yunna02102/fastq/SRR19064334_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064334_2.fastq.gz
SRR19064335	/home/users/eunseo916/yunna02102/fastq/SRR19064335_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064335_2.fastq.gz
SRR19064336	/home/users/eunseo916/yunna02102/fastq/SRR19064336_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064336_2.fastq.gz
SRR19064337	/home/users/eunseo916/yunna02102/fastq/SRR19064337_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064337_2.fastq.gz
SRR19064338	/home/users/eunseo916/yunna02102/fastq/SRR19064338_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064338_2.fastq.gz
SRR19064339	/home/users/eunseo916/yunna02102/fastq/SRR19064339_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064339_2.fastq.gz
SRR19064340	/home/users/eunseo916/yunna02102/fastq/SRR19064340_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064340_2.fastq.gz
SRR19064341	/home/users/eunseo916/yunna02102/fastq/SRR19064341_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064341_2.fastq.gz
SRR19064342	/home/users/eunseo916/yunna02102/fastq/SRR19064342_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064342_2.fastq.gz
SRR19064343	/home/users/eunseo916/yunna02102/fastq/SRR19064343_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064343_2.fastq.gz
SRR19064344	/home/users/eunseo916/yunna02102/fastq/SRR19064344_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064344_2.fastq.gz
SRR19064345	/home/users/eunseo916/yunna02102/fastq/SRR19064345_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064345_2.fastq.gz
SRR19064346	/home/users/eunseo916/yunna02102/fastq/SRR19064346_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064346_2.fastq.gz
SRR19064347	/home/users/eunseo916/yunna02102/fastq/SRR19064347_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064347_2.fastq.gz
SRR19064348	/home/users/eunseo916/yunna02102/fastq/SRR19064348_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064348_2.fastq.gz
SRR19064349	/home/users/eunseo916/yunna02102/fastq/SRR19064349_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064349_2.fastq.gz
SRR19064350	/home/users/eunseo916/yunna02102/fastq/SRR19064350_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064350_2.fastq.gz
SRR19064351	/home/users/eunseo916/yunna02102/fastq/SRR19064351_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064351_2.fastq.gz
SRR19064352	/home/users/eunseo916/yunna02102/fastq/SRR19064352_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064352_2.fastq.gz
SRR19064353	/home/users/eunseo916/yunna02102/fastq/SRR19064353_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064353_2.fastq.gz
SRR19064354	/home/users/eunseo916/yunna02102/fastq/SRR19064354_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064354_2.fastq.gz
SRR19064355	/home/users/eunseo916/yunna02102/fastq/SRR19064355_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064355_2.fastq.gz
SRR19064356	/home/users/eunseo916/yunna02102/fastq/SRR19064356_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064356_2.fastq.gz
SRR19064357	/home/users/eunseo916/yunna02102/fastq/SRR19064357_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064357_2.fastq.gz
SRR19064358	/home/users/eunseo916/yunna02102/fastq/SRR19064358_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064358_2.fastq.gz
SRR19064359	/home/users/eunseo916/yunna02102/fastq/SRR19064359_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064359_2.fastq.gz
SRR19064360	/home/users/eunseo916/yunna02102/fastq/SRR19064360_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064360_2.fastq.gz
SRR19064361	/home/users/eunseo916/yunna02102/fastq/SRR19064361_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064361_2.fastq.gz
SRR19064362	/home/users/eunseo916/yunna02102/fastq/SRR19064362_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064362_2.fastq.gz
SRR19064363	/home/users/eunseo916/yunna02102/fastq/SRR19064363_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064363_2.fastq.gz
SRR19064364	/home/users/eunseo916/yunna02102/fastq/SRR19064364_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064364_2.fastq.gz
SRR19064365	/home/users/eunseo916/yunna02102/fastq/SRR19064365_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064365_2.fastq.gz
SRR19064366	/home/users/eunseo916/yunna02102/fastq/SRR19064366_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064366_2.fastq.gz
SRR19064367	/home/users/eunseo916/yunna02102/fastq/SRR19064367_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064367_2.fastq.gz
SRR19064368	/home/users/eunseo916/yunna02102/fastq/SRR19064368_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064368_2.fastq.gz
SRR19064369	/home/users/eunseo916/yunna02102/fastq/SRR19064369_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064369_2.fastq.gz
SRR19064370	/home/users/eunseo916/yunna02102/fastq/SRR19064370_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064370_2.fastq.gz
SRR19064371	/home/users/eunseo916/yunna02102/fastq/SRR19064371_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064371_2.fastq.gz
SRR19064372	/home/users/eunseo916/yunna02102/fastq/SRR19064372_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064372_2.fastq.gz
SRR19064373	/home/users/eunseo916/yunna02102/fastq/SRR19064373_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064373_2.fastq.gz
SRR19064374	/home/users/eunseo916/yunna02102/fastq/SRR19064374_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064374_2.fastq.gz
SRR19064375	/home/users/eunseo916/yunna02102/fastq/SRR19064375_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064375_2.fastq.gz
SRR19064376	/home/users/eunseo916/yunna02102/fastq/SRR19064376_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064376_2.fastq.gz
SRR19064377	/home/users/eunseo916/yunna02102/fastq/SRR19064377_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064377_2.fastq.gz
SRR19064378	/home/users/eunseo916/yunna02102/fastq/SRR19064378_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064378_2.fastq.gz
SRR19064379	/home/users/eunseo916/yunna02102/fastq/SRR19064379_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064379_2.fastq.gz
SRR19064380	/home/users/eunseo916/yunna02102/fastq/SRR19064380_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064380_2.fastq.gz
SRR19064381	/home/users/eunseo916/yunna02102/fastq/SRR19064381_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064381_2.fastq.gz
SRR19064382	/home/users/eunseo916/yunna02102/fastq/SRR19064382_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064382_2.fastq.gz
SRR19064383	/home/users/eunseo916/yunna02102/fastq/SRR19064383_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064383_2.fastq.gz
SRR19064384	/home/users/eunseo916/yunna02102/fastq/SRR19064384_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064384_2.fastq.gz
SRR19064385	/home/users/eunseo916/yunna02102/fastq/SRR19064385_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064385_2.fastq.gz
SRR19064386	/home/users/eunseo916/yunna02102/fastq/SRR19064386_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064386_2.fastq.gz
SRR19064387	/home/users/eunseo916/yunna02102/fastq/SRR19064387_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064387_2.fastq.gz
SRR19064388	/home/users/eunseo916/yunna02102/fastq/SRR19064388_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064388_2.fastq.gz
SRR19064389	/home/users/eunseo916/yunna02102/fastq/SRR19064389_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064389_2.fastq.gz
SRR19064390	/home/users/eunseo916/yunna02102/fastq/SRR19064390_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064390_2.fastq.gz
SRR19064391	/home/users/eunseo916/yunna02102/fastq/SRR19064391_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064391_2.fastq.gz
SRR19064392	/home/users/eunseo916/yunna02102/fastq/SRR19064392_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064392_2.fastq.gz
SRR19064393	/home/users/eunseo916/yunna02102/fastq/SRR19064393_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064393_2.fastq.gz
SRR19064394	/home/users/eunseo916/yunna02102/fastq/SRR19064394_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064394_2.fastq.gz
SRR19064395	/home/users/eunseo916/yunna02102/fastq/SRR19064395_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064395_2.fastq.gz
SRR19064396	/home/users/eunseo916/yunna02102/fastq/SRR19064396_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064396_2.fastq.gz
SRR19064397	/home/users/eunseo916/yunna02102/fastq/SRR19064397_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064397_2.fastq.gz
SRR19064398	/home/users/eunseo916/yunna02102/fastq/SRR19064398_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064398_2.fastq.gz
SRR19064399	/home/users/eunseo916/yunna02102/fastq/SRR19064399_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064399_2.fastq.gz
SRR19064400	/home/users/eunseo916/yunna02102/fastq/SRR19064400_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064400_2.fastq.gz
SRR19064401	/home/users/eunseo916/yunna02102/fastq/SRR19064401_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064401_2.fastq.gz
SRR19064402	/home/users/eunseo916/yunna02102/fastq/SRR19064402_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064402_2.fastq.gz
SRR19064403	/home/users/eunseo916/yunna02102/fastq/SRR19064403_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064403_2.fastq.gz
SRR19064404	/home/users/eunseo916/yunna02102/fastq/SRR19064404_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064404_2.fastq.gz
SRR19064405	/home/users/eunseo916/yunna02102/fastq/SRR19064405_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064405_2.fastq.gz
SRR19064406	/home/users/eunseo916/yunna02102/fastq/SRR19064406_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064406_2.fastq.gz
SRR19064407	/home/users/eunseo916/yunna02102/fastq/SRR19064407_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064407_2.fastq.gz
SRR19064408	/home/users/eunseo916/yunna02102/fastq/SRR19064408_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064408_2.fastq.gz
SRR19064409	/home/users/eunseo916/yunna02102/fastq/SRR19064409_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064409_2.fastq.gz
SRR19064410	/home/users/eunseo916/yunna02102/fastq/SRR19064410_1.fastq.gz	/home/users/eunseo916/yunna02102/fastq/SRR19064410_2.fastq.gz
